Name Vorleistung,Modul,Modulcode,Kursname,Kurscode,ECTS,Bemerkung,URL,Art Vorleistung,Studiengang,Institution / Anbieter
Assistent/-in für Hotelmanagement,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung),BBUB01-01,3,,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Computer Training,BCTR,Computer Training,BCTR01-01,5,,https://www.iubh-fernstudium.de/kurs/computer-training-bctr01-01/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung),BREC01-01,3,,http://www.iubh-fernstudium.de/kurs/recht-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Einführung in das wissenschaftliche Arbeiten,DLBWIR-01,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung) *,BBUB01-01,3,Achtung! Pflichtmodul zur Wahl!,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Computer Training,BCTR,Computer Training,BCTR01-01,5,,https://www.iubh-fernstudium.de/kurs/computer-training-bctr01-01/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung) *,BREC01-02,3,Achtung! Pflichtmodul zur Wahl!,https://www.iubh-fernstudium.de/kurs/recht-einfuehrung-brec01-02/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung),BREC01-01,3,,http://www.iubh-fernstudium.de/kurs/recht-einfuehrung/,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I,BBWL01-01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung),BBUB01-01,3,,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung),BBUB01-01,3,,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Computer Training,BCTR,Computer Training,BCTR01-01,5,,https://www.iubh-fernstudium.de/kurs/computer-training-bctr01-01/,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung),BREC01-01,3,,http://www.iubh-fernstudium.de/kurs/recht-einfuehrung/,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung) *,BBUB01-01,3,Achtung! Pflichtmodul zur Wahl!,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Computer Training,BCTR,Computer Training,BCTR01-01,5,,https://www.iubh-fernstudium.de/kurs/computer-training-bctr01-01/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung) *,BREC01-02,3,Achtung! Pflichtmodul zur Wahl!,https://www.iubh-fernstudium.de/kurs/recht-einfuehrung-brec01-02/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I,BBWL01-01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I (Einführung),BMAR01,3,,http://www.iubh-fernstudium.de/kurs/marketing-einfuehrung/,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Selbst- und Zeitmanagement,DLBSUZ,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung),BREC01-01,3,,http://www.iubh-fernstudium.de/kurs/recht-einfuehrung/,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung),BBUB01-01,3,,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,B.Sc. Wirtschaftsinformatik_Studienstart ab 01.09.2020,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL-01,BWL I,BBWL01-01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.Sc. Wirtschaftsinformatik_Studienstart ab 01.09.2020,
Assistent/-in für Hotelmanagement,Kollaboratives Arbeiten,DLBKA,Kollaboratives Arbeiten,DLBKA01,5,,https://www.iubh-fernstudium.de/kurs/kollaboratives-arbeiten-dlbka01/,Ausbildung,B.Sc. Wirtschaftsinformatik_Studienstart ab 01.09.2020,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR-01,Kosten- und Leistungsrechnung I,BKLR01-01,3,,https://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.Sc. Wirtschaftsinformatik_Studienstart ab 01.09.2020,
Assistent/-in für Hotelmanagement,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung),BBUB01-01,3,,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Computer Training,BCTR,Computer Training,BCTR01-01,5,,https://www.iubh-fernstudium.de/kurs/computer-training-bctr01-01/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung),BREC01-01,3,,http://www.iubh-fernstudium.de/kurs/recht-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Einführung in das wissenschaftliche Arbeiten,DLBWIR-01,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung) *,BBUB01-01,3,Achtung! Pflichtmodul zur Wahl!,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Computer Training,BCTR,Computer Training,BCTR01-01,5,,https://www.iubh-fernstudium.de/kurs/computer-training-bctr01-01/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung) *,BREC01-02,3,Achtung! Pflichtmodul zur Wahl!,https://www.iubh-fernstudium.de/kurs/recht-einfuehrung-brec01-02/,Ausbildung,B.A. Finanzmanagement,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung),BREC01-01,3,,http://www.iubh-fernstudium.de/kurs/recht-einfuehrung/,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I,BBWL01-01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung),BBUB01-01,3,,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Gesundheitsmanagement,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung),BBUB01-01,3,,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Computer Training,BCTR,Computer Training,BCTR01-01,5,,https://www.iubh-fernstudium.de/kurs/computer-training-bctr01-01/,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung),BREC01-01,3,,http://www.iubh-fernstudium.de/kurs/recht-einfuehrung/,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Marketing,
Assistent/-in für Hotelmanagement,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung) *,BBUB01-01,3,Achtung! Pflichtmodul zur Wahl!,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Computer Training,BCTR,Computer Training,BCTR01-01,5,,https://www.iubh-fernstudium.de/kurs/computer-training-bctr01-01/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung) *,BREC01-02,3,Achtung! Pflichtmodul zur Wahl!,https://www.iubh-fernstudium.de/kurs/recht-einfuehrung-brec01-02/,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Personalmanagement,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I,BBWL01-01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I (Einführung),BMAR01,3,,http://www.iubh-fernstudium.de/kurs/marketing-einfuehrung/,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Selbst- und Zeitmanagement,DLBSUZ,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Recht,BREC-01,Recht I (Einführung),BREC01-01,3,,http://www.iubh-fernstudium.de/kurs/recht-einfuehrung/,Ausbildung,B.Sc. Wirtschaftsinformatik,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung),BBUB01-01,3,,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Wissenschaftliches Arbeiten,BWIR,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Personalwesen,BPER,Personalwesen I (Einführung),BPER01,3,,http://www.iubh-fernstudium.de/kurs/personalwesen-einfuehrung/,Ausbildung,LL.B. Wirtschaftsrecht,
Assistent/-in für Hotelmanagement,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,B.Sc. Wirtschaftsinformatik_Studienstart ab 01.09.2020,
Assistent/-in für Hotelmanagement,Betriebswirtschaftslehre,BBWL-01,BWL I,BBWL01-01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.Sc. Wirtschaftsinformatik_Studienstart ab 01.09.2020,
Assistent/-in für Hotelmanagement,Kollaboratives Arbeiten,DLBKA,Kollaboratives Arbeiten,DLBKA01,5,,https://www.iubh-fernstudium.de/kurs/kollaboratives-arbeiten-dlbka01/,Ausbildung,B.Sc. Wirtschaftsinformatik_Studienstart ab 01.09.2020,
Assistent/-in für Hotelmanagement,Kosten- und Leistungsrechnung,BKLR-01,Kosten- und Leistungsrechnung I,BKLR01-01,3,,https://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.Sc. Wirtschaftsinformatik_Studienstart ab 01.09.2020,
Automobilkaufmann/-frau IHK,Marketing,BMAR-01,Marketing I,BMAR01-01,3,,http://www.iubh-fernstudium.de/kurs/marketing-i/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,IHK
Automobilkaufmann/-frau IHK,Beschaffung und Logistik,BBLO,Beschaffung und Logistik,BBLO01,5,,http://www.iubh-fernstudium.de/kurs/beschaffung-und-logistik/?nabe=6277152889110528:0,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,IHK
Automobilkaufmann/-frau IHK,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,IHK
Automobilkaufmann/-frau IHK,Buchführung und Bilanzierung,BBUB,Buchführung und Bilanzierung I (Einführung),BBUB01-01,3,,https://www.iubh-fernstudium.de/kurs/buchfuehrung-und-bilanzierung-einfuehrung-bbub01-01/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,IHK
Automobilkaufmann/-frau IHK,Betriebswirtschaftslehre,BBWL,BWL I (Einführung),BBWL01,3,,http://www.iubh-fernstudium.de/kurs/bwl-einfuehrung-grundlagen-2/?nabe=6277152889110528:0,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,IHK
Automobilkaufmann/-frau IHK,Computer Training,BCTR,Computer Training,BCTR01-01,5,,https://www.iubh-fernstudium.de/kurs/computer-training-bctr01-01/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,IHK
Automobilkaufmann/-frau IHK,Controlling,BCON,Controlling I (Einführung),BCON01,3,,http://www.iubh-fernstudium.de/kurs/controlling-einfuehrung/,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,IHK
Automobilkaufmann/-frau IHK,Einführung in das wissenschaftliche Arbeiten,DLBWIR-01,Selbst- und Zeitmanagement,BWIR02,5,,http://www.iubh-fernstudium.de/kurs/selbst-und-zeitmanagement-3/?nabe=6277152889110528:0,Ausbildung,B.A. Betriebswirtschaftslehre_Studienstart bis 31.08.2019,IHK
Automobilkaufmann/-frau IHK,Kosten- und Leistungsrechnung,BKLR,Kosten- und Leistungsrechnung I (Einführung),BKLR01,3,,http://www.iubh-fernstudium.de/kurs/kosten-und-leistungsrechnung-einfuehrung/,Ausbildung,B.A. Finanzmanagement,IHK
